date,home_team,away_team,home_score,away_score,tournament,neutral
2022-08-18,FC Dallas,Philadelphia Union,1,0,mls,FALSE
2022-08-18,Vancouver Whitecaps,Colorado Rapids,2,1,mls,FALSE
2022-08-20,Los Angeles Galaxy,Seattle Sounders,3,3,mls,FALSE
2022-08-20,New York Red Bulls,FC Cincinnati,1,1,mls,FALSE
2022-08-20,CF Montreal,New England Revolution,4,0,mls,FALSE
2022-08-20,DC United,Philadelphia Union,0,6,mls,FALSE
2022-08-21,Minnesota United,Austin,2,1,mls,FALSE
2022-08-21,Inter Miami,Toronto,2,1,mls,FALSE
2022-08-21,Colorado Rapids,Houston Dynamo,1,1,mls,FALSE
2022-08-21,San Jose Earthquakes,Los Angeles FC,2,1,mls,FALSE
2022-08-21,Real Salt Lake,Vancouver Whitecaps,1,1,mls,FALSE
2022-08-21,Chicago Fire,New York City,0,2,mls,FALSE
2022-08-21,Charlotte,Orlando City SC,1,2,mls,FALSE
2022-08-21,Sporting Kansas City,Portland Timbers,4,1,mls,FALSE
2022-08-22,Nashville SC,FC Dallas,4,0,mls,FALSE
2022-08-22,Columbus Crew,Atlanta United,2,2,mls,FALSE
2022-08-27,Austin,Los Angeles FC,4,1,mls,FALSE
2022-08-27,Portland Timbers,Seattle Sounders,2,1,mls,FALSE
2022-08-27,Minnesota United,Houston Dynamo,2,1,mls,FALSE
2022-08-27,New York Red Bulls,Inter Miami,3,1,mls,FALSE
2022-08-27,Charlotte,Toronto,0,2,mls,FALSE
2022-08-27,Philadelphia Union,Colorado Rapids,6,0,mls,FALSE
2022-08-27,FC Cincinnati,Columbus Crew,2,2,mls,FALSE
2022-08-28,Chicago Fire,CF Montreal,0,2,mls,FALSE
2022-08-28,Sporting Kansas City,San Jose Earthquakes,1,0,mls,FALSE
2022-08-28,FC Dallas,Real Salt Lake,1,1,mls,FALSE
2022-08-28,Vancouver Whitecaps,Nashville SC,0,3,mls,FALSE
2022-08-28,Atlanta United,DC United,3,2,mls,FALSE
2022-08-28,Orlando City SC,New York City,2,1,mls,FALSE
2022-08-29,New England Revolution,Los Angeles Galaxy,1,2,mls,FALSE
2022-08-31,Philadelphia Union,Atlanta United,4,1,mls,FALSE
2022-08-31,Orlando City SC,Seattle Sounders,3,2,mls,FALSE
2022-08-31,Toronto,Los Angeles Galaxy,2,2,mls,FALSE
2022-08-31,New England Revolution,Chicago Fire,0,0,mls,FALSE
2022-08-31,Columbus Crew,Inter Miami,1,0,mls,FALSE
2022-08-31,CF Montreal,New York Red Bulls,0,1,mls,FALSE
2022-09-01,New York City,DC United,1,2,mls,FALSE
2022-09-01,Houston Dynamo,Los Angeles FC,2,1,mls,FALSE
2022-09-01,Nashville SC,Colorado Rapids,4,1,mls,FALSE
2022-09-01,Austin,Portland Timbers,1,2,mls,FALSE
2022-09-01,Real Salt Lake,Minnesota United,3,0,mls,FALSE
2022-09-03,Minnesota United,FC Dallas,0,3,mls,FALSE
2022-09-03,Columbus Crew,Chicago Fire,0,0,mls,FALSE
2022-09-03,New York Red Bulls,Philadelphia Union,0,2,mls,FALSE
2022-09-03,FC Cincinnati,Charlotte,2,0,mls,FALSE
2022-09-04,Nashville SC,Austin,3,0,mls,FALSE
2022-09-04,Portland Timbers,Atlanta United,2,1,mls,FALSE
